Sample,Study,CalcOrArag,Units,Calc,Arag,IonicStrength,pH,pHscale,pHerr,Temp,Ave_NamMol,Ave_ClmMol,Ave_CamMol,Ave_MgmMol,Ave_BmMol,Ave_SO4mMol,Ave_KmMol,Ave_DICmMol,Ave_SrmMol,Ave_IonicS,NaCa_mmol,logR,logR_unit,seeds,Rmgming,RmgHrg
21s,BP1985,Arag,mmol/kgw,0,1,1.08,7.45,NBS,0.1,25,500,520,10,0,0,25,25,NA,0,1.08,17.32709209,-1.781316906,mol/m2/s,1,46,2760
22s,BP1985,Arag,mmol/kgw,0,1,1.03,7.45,NBS,0.1,25,500,520,10,0,0,0,0,NA,0,1.03,3.091013916,NA,mol/m2/s,1,NA,NA
23s,BP1985,Arag,mmol/kgw,0,1,1.03,7.51,NBS,0.1,25,500,520,10,0,0,0,0,NA,0,1.03,26.29538599,-2.109620986,mol/m2/s,1,21.6,1296
24e,BP1985,Arag,mmol/kgw,0,1,1.18,7.47,NBS,0.1,25,600,520,10,0,0,50,0,NA,0,1.18,20.9405309,-2.012710973,mol/m2/s,1,27,1620
25s,BP1985,Arag,mmol/kgw,0,1,1.105,7.45,NBS,0.1,25,550,520,10,0,0,25,0,NA,0,1.105,16.23870691,-1.790862223,mol/m2/s,1,45,2700
26s,BP1985,Arag,mmol/kgw,0,1,1.0675,7.44,NBS,0.1,25,525,520,10,0,0,12.5,0,NA,0,1.0675,12.45112648,-1.691258306,mol/m2/s,1,56.6,3396
27s,BP1985,Arag,mmol/kgw,0,1,1.04875,7.43,NBS,0.1,25,512.5,520,10,0,0,6.25,0,NA,0,1.04875,8.184656567,-1.648890148,mol/m2/s,1,62.4,3744
28s,BP1985,Arag,mmol/kgw,0,1,1.039,7.42,NBS,0.1,25,506,520,10,0,0,3,0,NA,0,1.039,5.137178058,-1.58553754,mol/m2/s,1,72.2,4332
29s,BP1985,Arag,mmol/kgw,0,1,1.105,7.14,NBS,0.1,25,550,520,10,0,0,25,0,NA,0,1.105,7.618696272,-2.962632109,mol/m2/s,1,3.03,181.8
30s,BP1985,Arag,mmol/kgw,0,1,1.105,7.3,NBS,0.1,25,550,520,10,0,0,25,0,NA,0,1.105,10.92738722,-2.294855625,mol/m2/s,1,14.1,846
31s,BP1985,Arag,mmol/kgw,0,1,1.105,7.54,NBS,0.1,25,550,520,10,0,0,25,0,NA,0,1.105,15.32446336,-1.607750622,mol/m2/s,1,68.6,4116
32s,BP1985,Arag,mmol/kgw,0,1,1.105,7.7,NBS,0.1,25,550,520,10,0,0,25,0,NA,0,1.105,19.06850838,-1.30735417,mol/m2/s,1,137,8220
33s,BP1985,Arag,mmol/kgw,0,1,1.04875,7.12,NBS,0.1,25,512.5,520,10,0,0,6.25,0,NA,0,1.04875,3.369640523,-2.427041398,mol/m2/s,1,10.4,624
34s,BP1985,Arag,mmol/kgw,0,1,1.04875,7.27,NBS,0.1,25,512.5,520,10,0,0,6.25,0,NA,0,1.04875,5.093642651,-2.218765456,mol/m2/s,1,16.8,1008
35s,BP1985,Arag,mmol/kgw,0,1,1.04875,7.52,NBS,0.1,25,512.5,520,10,0,0,6.25,0,NA,0,1.04875,7.270413014,-1.509071586,mol/m2/s,1,86.1,5166
36s,BP1985,Arag,mmol/kgw,0,1,1.04875,7.68,NBS,0.1,25,512.5,520,10,0,0,6.25,0,NA,0,1.04875,14.45375521,-1.154040126,mol/m2/s,1,195,11700
37s,BP1985,Arag,mmol/kgw,0,1,1.039,7.12,NBS,0.1,25,506,520,10,0,0,3,0,NA,0,1.039,2.681781088,-2.273813022,mol/m2/s,1,14.8,888
38e,BP1985,Arag,mmol/kgw,0,1,1.0675,7.13,NBS,0.1,25,525,520,10,0,0,12.5,0,NA,0,1.0675,2.87333688,-2.639254059,mol/m2/s,1,6.38,382.8
39s,BP1985,Arag,mmol/kgw,0,1,1.18,7.17,NBS,0.1,25,600,520,10,0,0,50,0,NA,0,1.18,0.844586901,-3.301059937,mol/m2/s,1,1.39,83.4