pH,Temp,Na_Mol,K_Mol,Mg_Mol,Ca_Mol,Cl_Mol,SO4_Mol,B_Mol,IonicStrength,pKB,pKB_meas,Study,Solution,Units
7,25,0,0.080156667,0,0,0.080156667,0,0.01,0.1,9.016,9.029,Dickson1990JChemEng,KCl,mol/kgw
7,25,0,0.28015,0,0,0.28015,0,0.01,0.3,8.939,8.953,Dickson1990JChemEng,KCl,mol/kgw
7,25,0,0.480243333,0,0,0.480243333,0,0.01,0.5,8.907,8.925,Dickson1990JChemEng,KCl,mol/kgw
7,25,0,0.980616667,0,0,0.980616667,0,0.01,1,8.899,8.907,Dickson1990JChemEng,KCl,mol/kgw
7,25,0,1.484688,0,0,1.484688,0,0.01,1.5,8.91,8.925,Dickson1990JChemEng,KCl,mol/kgw
7,25,0.5,0,0,0,0.5,0,0.003,0.5,8.856,8.856,Hershey1986GCA,NaCl,mol/kgw
7,25,1,0,0,0,1,0,0.003,1,8.813,8.813,Hershey1986GCA,NaCl,mol/kgw
7,25,2,0,0,0,2,0,0.003,2,8.79,8.79,Hershey1986GCA,NaCl,mol/kgw
7,25,3,0,0,0,3,0,0.003,3,8.83,8.83,Hershey1986GCA,NaCl,mol/kgw
7,25,4,0,0,0,4,0,0.003,4,8.881,8.881,Hershey1986GCA,NaCl,mol/kgw
7,25,5,0,0,0,5,0,0.003,5,8.952,8.952,Hershey1986GCA,NaCl,mol/kgw
7,25,6,0,0,0,6,0,0.003,6,9.045,9.045,Hershey1986GCA,NaCl,mol/kgw
7,25,0,0,0,0,0,0,0.01,0,9.2365,9.2365,OwenKing1943,NaCl,mol/kgw
7,25,0.02,0,0,0,0.02,0,0.01,0.02,9.1149,9.1149,OwenKing1943,NaCl,mol/kgw
7,25,0.07,0,0,0,0.07,0,0.01,0.07,9.0338,9.0338,OwenKing1943,NaCl,mol/kgw
7,25,0.36,0,0,0,0.36,0,0.01,0.36,8.8901,8.8901,OwenKing1943,NaCl,mol/kgw
7,25,0.725,0,0,0,0.725,0,0.01,0.725,8.8316,8.8316,OwenKing1943,NaCl,mol/kgw
7,25,1.25,0,0,0,1.25,0,0.01,1.25,8.7977,8.7977,OwenKing1943,NaCl,mol/kgw
7,25,2,0,0,0,2,0,0.01,2,8.7927,8.7927,OwenKing1943,NaCl,mol/kgw
7,25,3,0,0,0,3,0,0.01,3,8.8213,8.8213,OwenKing1943,NaCl,mol/kgw
7,25,0.0674,0.0015,0.0076,0.0015,0.0789,0.0041,0.01,0.1,8.9211,8.9211,Dickson1990DSR,ASW,mol/kgs
7,25,0.2041,0.0044,0.023,0.0045,0.239,0.0123,0.01,0.3,8.7508,8.7508,Dickson1990DSR,ASW,mol/kgs
7,25,0.3437,0.0075,0.0387,0.0076,0.4024,0.0207,0.01,0.51,8.6557,8.6557,Dickson1990DSR,ASW,mol/kgs
7,25,0.4862,0.0106,0.0547,0.0108,0.5692,0.0293,0.01,0.72,8.5797,8.5797,Dickson1990DSR,ASW,mol/kgs
7,25,0.6316,0.0137,0.0711,0.014,0.7395,0.038,0.01,0.94,8.5302,8.5302,Dickson1990DSR,ASW,mol/kgs
7,25,0.5,0,0,0.05,0.6,0,0.003,0.65,8.675,8.675,Hershey1986GCA,NaCaCl,mol/kgw
7,25,1,0,0,0.05,1.1,0,0.003,1.15,8.664,8.664,Hershey1986GCA,NaCaCl,mol/kgw
7,25,2,0,0,0.05,2.1,0,0.003,2.15,8.672,8.672,Hershey1986GCA,NaCaCl,mol/kgw
7,25,3,0,0,0.05,3.1,0,0.003,3.15,8.706,8.706,Hershey1986GCA,NaCaCl,mol/kgw
7,25,4,0,0,0.05,4.1,0,0.003,4.15,8.778,8.778,Hershey1986GCA,NaCaCl,mol/kgw
7,25,5,0,0,0.05,5.1,0,0.003,5.15,8.856,8.856,Hershey1986GCA,NaCaCl,mol/kgw
7,25,6,0,0,0.05,6.1,0,0.003,6.15,8.942,8.942,Hershey1986GCA,NaCaCl,mol/kgw
7,25,0.5,0,0.05,0,0.6,0,0.003,0.65,8.726,8.726,Hershey1986GCA,NaMgCl,mol/kgw
7,25,1,0,0.05,0,1.1,0,0.003,1.15,8.712,8.712,Hershey1986GCA,NaMgCl,mol/kgw
7,25,2,0,0.05,0,2.1,0,0.003,2.15,8.71,8.71,Hershey1986GCA,NaMgCl,mol/kgw
7,25,3,0,0.05,0,3.1,0,0.003,3.15,8.764,8.764,Hershey1986GCA,NaMgCl,mol/kgw
7,25,4,0,0.05,0,4.1,0,0.003,4.15,8.82,8.82,Hershey1986GCA,NaMgCl,mol/kgw
7,25,5,0,0.05,0,5.1,0,0.003,5.15,8.897,8.897,Hershey1986GCA,NaMgCl,mol/kgw
7,25,6,0,0.05,0,6.1,0,0.003,6.15,8.982,8.982,Hershey1986GCA,NaMgCl,mol/kgw